Epoch,Training Loss,Validation Loss,Training Accuracy,Validation Accuracy
1,0.49722933769226074,0.48830172419548035,0.7472587823867798,0.7804232835769653
2,0.3961532413959503,0.5127143263816833,0.8190789222717285,0.7857142686843872
3,0.37619826197624207,0.45573917031288147,0.828399121761322,0.7936508059501648
4,0.34222954511642456,0.48278605937957764,0.8459429740905762,0.7751322984695435
5,0.33234846591949463,0.4538367986679077,0.8514254093170166,0.7989417910575867
6,0.3097098767757416,0.4593220055103302,0.8662280440330505,0.7989417910575867
7,0.32672470808029175,0.4261658787727356,0.8492324352264404,0.8148148059844971
8,0.29633432626724243,0.4538344442844391,0.8656798005104065,0.7989417910575867
9,0.29581180214881897,0.4792861044406891,0.8662280440330505,0.7804232835769653
10,0.2635037302970886,0.4900676906108856,0.8848684430122375,0.7989417910575867
11,0.22773748636245728,0.5051630139350891,0.9024122953414917,0.7777777910232544
12,0.25184953212738037,0.4654819667339325,0.8980262875556946,0.7989417910575867
13,0.23298078775405884,0.4912298023700714,0.9024122953414917,0.8042327761650085
14,0.24738502502441406,0.46286308765411377,0.8996710777282715,0.7936508059501648
15,0.246360644698143,0.5074882507324219,0.8991228342056274,0.7883597612380981
