Epoch,Training Loss,Validation Loss,Training Accuracy,Validation Accuracy
1,0.5324909687042236,0.49311089515686035,0.7203947305679321,0.7592592835426331
2,0.41185033321380615,0.49518173933029175,0.8103070259094238,0.7566137313842773
3,0.4246046841144562,0.5175255537033081,0.8048245906829834,0.7513227462768555
4,0.37258675694465637,0.5350407958030701,0.8262061476707458,0.7724867463111877
5,0.3336624801158905,0.5192227959632874,0.844298243522644,0.7936508059501648
6,0.33180949091911316,0.551920473575592,0.8640350699424744,0.7513227462768555
7,0.33843982219696045,0.5103412866592407,0.8497806787490845,0.7777777910232544
8,0.33524370193481445,0.5265845060348511,0.8486841917037964,0.7830687761306763
9,0.32510247826576233,0.5072179436683655,0.8563596606254578,0.7910053133964539
10,0.3428894579410553,0.5434515476226807,0.8475877046585083,0.7724867463111877
11,0.33080267906188965,0.5391032099723816,0.8552631735801697,0.7645502686500549
12,0.3308040499687195,0.5261987447738647,0.8492324352264404,0.7592592835426331
13,0.330444872379303,0.5188379883766174,0.8558114171028137,0.7857142686843872
14,0.32948654890060425,0.5125302672386169,0.8547149300575256,0.7804232835769653
15,0.32524678111076355,0.5530604720115662,0.8678728342056274,0.7671957612037659
