Epoch,Training Loss,Validation Loss,Training Accuracy,Validation Accuracy
1,0.46553125977516174,0.48787426948547363,0.7883771657943726,0.7910053133964539
2,0.34690728783607483,0.47697213292121887,0.8481359481811523,0.8280423283576965
3,0.30278968811035156,0.5082158446311951,0.8574561476707458,0.8015872836112976
4,0.27287039160728455,0.4600825309753418,0.8837719559669495,0.8148148059844971
5,0.24731993675231934,0.5610765814781189,0.8936403393745422,0.8121693134307861
6,0.24981263279914856,0.4905039072036743,0.890350878238678,0.7989417910575867
7,0.20780818164348602,0.5053853988647461,0.9144737124443054,0.8121693134307861
8,0.2065083235502243,0.4892709255218506,0.9150219559669495,0.8148148059844971
9,0.20391499996185303,0.5024030208587646,0.9232456088066101,0.8121693134307861
10,0.19596026837825775,0.5102410912513733,0.9210526347160339,0.8068783283233643
11,0.20426815748214722,0.5263357162475586,0.9194079041481018,0.817460298538208
12,0.19742567837238312,0.49593842029571533,0.9183114171028137,0.8148148059844971
13,0.20854294300079346,0.5276848673820496,0.9144737124443054,0.8015872836112976
14,0.20394447445869446,0.4973307251930237,0.9172149300575256,0.8121693134307861
15,0.1998518705368042,0.5020316243171692,0.9150219559669495,0.8095238208770752
