Epoch,Training Loss,Validation Loss,Training Accuracy,Validation Accuracy
1,0.514869213104248,0.5438615083694458,0.7510964870452881,0.7645502686500549
2,0.37674522399902344,0.48184138536453247,0.8360745906829834,0.8095238208770752
3,0.3239041566848755,0.4486874043941498,0.8601973652839661,0.817460298538208
4,0.2949780821800232,0.4509035050868988,0.8711622953414917,0.817460298538208
5,0.25296658277511597,0.4675225615501404,0.8952850699424744,0.7962962985038757
6,0.21414883434772491,0.466796875,0.9161184430122375,0.8042327761650085
7,0.2083430141210556,0.46126943826675415,0.9210526347160339,0.8015872836112976
8,0.21170897781848907,0.4579620659351349,0.9226973652839661,0.8015872836112976
9,0.20859944820404053,0.45553815364837646,0.9166666865348816,0.7962962985038757
10,0.20874838531017303,0.45349201560020447,0.921600878238678,0.7962962985038757
11,0.20731429755687714,0.45222151279449463,0.9188596606254578,0.7962962985038757
12,0.20749881863594055,0.45129507780075073,0.9199561476707458,0.7962962985038757
13,0.208882138133049,0.4505261480808258,0.9194079041481018,0.7962962985038757
14,0.20814524590969086,0.44989800453186035,0.9172149300575256,0.7962962985038757
15,0.20713132619857788,0.44951605796813965,0.9177631735801697,0.7962962985038757
