Epoch,Training Loss,Validation Loss,Training Accuracy,Validation Accuracy
1,0.5039952993392944,0.5506904125213623,0.7543859481811523,0.7566137313842773
2,0.41921836137771606,0.6372750997543335,0.8064693212509155,0.7486772537231445
3,0.40248048305511475,0.5034111738204956,0.8168859481811523,0.7724867463111877
4,0.3778950572013855,0.5424599051475525,0.8300438523292542,0.7539682388305664
5,0.34998854994773865,0.5438035726547241,0.8525219559669495,0.7592592835426331
6,0.3066404163837433,0.5185850858688354,0.8717105388641357,0.7724867463111877
7,0.2917543351650238,0.5164788365364075,0.8760964870452881,0.7777777910232544
8,0.2868797481060028,0.5450881719589233,0.8804824352264404,0.7751322984695435
9,0.30051031708717346,0.5268855690956116,0.874451756477356,0.7724867463111877
10,0.29020506143569946,0.5542941093444824,0.8843201994895935,0.7539682388305664
11,0.29532358050346375,0.5405570864677429,0.874451756477356,0.7698412537574768
12,0.27960434556007385,0.5477085709571838,0.8848684430122375,0.7539682388305664
13,0.28112727403640747,0.5237219929695129,0.8815789222717285,0.7777777910232544
14,0.2922471761703491,0.5225242972373962,0.8815789222717285,0.7777777910232544
15,0.30013975501060486,0.5223261713981628,0.8711622953414917,0.7671957612037659
