Epoch,Training Loss,Validation Loss,Training Accuracy,Validation Accuracy
1,0.5800681114196777,0.6458495855331421,0.7406798005104065,0.7830687761306763
2,0.43415677547454834,0.6592680215835571,0.8289473652839661,0.7724867463111877
3,0.29886215925216675,0.6910719871520996,0.8881579041481018,0.7724867463111877
4,0.11423012614250183,0.5882935523986816,0.9523026347160339,0.8095238208770752
5,0.07643654942512512,0.6226320266723633,0.9731359481811523,0.7989417910575867
6,0.05752015486359596,0.6335130929946899,0.9830043911933899,0.7910053133964539
7,0.04482439160346985,0.6256900429725647,0.9857456088066101,0.8042327761650085
8,0.04635324329137802,0.6302638053894043,0.9862938523292542,0.7962962985038757
9,0.04136580601334572,0.629957914352417,0.9890350699424744,0.7936508059501648
10,0.04027770832180977,0.6297948360443115,0.9912280440330505,0.7936508059501648
11,0.04404245316982269,0.6303408145904541,0.984649121761322,0.7989417910575867
12,0.04446873068809509,0.6302987337112427,0.9862938523292542,0.7962962985038757
13,0.04346025735139847,0.6305201649665833,0.9890350699424744,0.7962962985038757
14,0.03837805613875389,0.6304497122764587,0.9923245906829834,0.7989417910575867
15,0.04339973255991936,0.6304128170013428,0.9884868264198303,0.8015872836112976
