Epoch,Training Loss,Validation Loss,Training Accuracy,Validation Accuracy
1,0.4329652190208435,0.48333117365837097,0.8103070259094238,0.8095238208770752
2,0.32173430919647217,0.5086663365364075,0.8618420958518982,0.8068783283233643
3,0.28400009870529175,0.5619306564331055,0.8771929740905762,0.8042327761650085
4,0.2511727809906006,0.5022082328796387,0.8914473652839661,0.8121693134307861
5,0.23603035509586334,0.512912392616272,0.9007675647735596,0.8015872836112976
6,0.22786587476730347,0.49037283658981323,0.9073464870452881,0.8095238208770752
7,0.21353930234909058,0.4779355227947235,0.9166666865348816,0.8121693134307861
8,0.22542662918567657,0.5134288668632507,0.9133771657943726,0.8121693134307861
9,0.2286551147699356,0.49431681632995605,0.9073464870452881,0.8227513432502747
10,0.2370891124010086,0.5035863518714905,0.8952850699424744,0.8015872836112976
11,0.2270977646112442,0.5024044513702393,0.9095394611358643,0.8121693134307861
12,0.22995112836360931,0.49640995264053345,0.9084429740905762,0.8148148059844971
13,0.23123888671398163,0.508732795715332,0.8985745906829834,0.8095238208770752
14,0.2266997992992401,0.49094676971435547,0.9100877046585083,0.8227513432502747
15,0.2308090478181839,0.4746810793876648,0.9095394611358643,0.8148148059844971
