Epoch,Training Loss,Validation Loss,Training Accuracy,Validation Accuracy
1,0.4801674783229828,0.4974210560321808,0.7669956088066101,0.7777777910232544
2,0.36803197860717773,0.46558070182800293,0.8366228342056274,0.8015872836112976
3,0.31920886039733887,0.43431469798088074,0.8651315569877625,0.817460298538208
4,0.27477967739105225,0.4873313307762146,0.8854166865348816,0.8095238208770752
5,0.25248321890830994,0.47124388813972473,0.890899121761322,0.8015872836112976
6,0.20322903990745544,0.4744401276111603,0.922149121761322,0.817460298538208
7,0.19749151170253754,0.4743761420249939,0.9243420958518982,0.8148148059844971
8,0.1805410534143448,0.4718641936779022,0.9309210777282715,0.8148148059844971
9,0.19009222090244293,0.47130459547042847,0.9298245906829834,0.8148148059844971
10,0.18632251024246216,0.4708385467529297,0.9276315569877625,0.8121693134307861
11,0.18481440842151642,0.47063636779785156,0.9287280440330505,0.8148148059844971
12,0.19056662917137146,0.4705958664417267,0.9254385828971863,0.8121693134307861
13,0.19039806723594666,0.47064006328582764,0.9314693212509155,0.8121693134307861
14,0.18820273876190186,0.4705318510532379,0.9265350699424744,0.8121693134307861
15,0.17852167785167694,0.47022610902786255,0.9385964870452881,0.8121693134307861
